frame.time_relative,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.flags,frame.len
0.297723000,10.0.0.1,10.0.0.2,80,38102,0x0011,66
0.299481000,10.0.0.2,10.0.0.1,38102,80,0x0011,66
0.299522000,10.0.0.1,10.0.0.2,80,38102,0x0010,66
0.329864000,10.0.0.2,10.0.0.1,38112,80,0x0002,74
0.329891000,10.0.0.1,10.0.0.2,80,38112,0x0012,74
0.329920000,10.0.0.2,10.0.0.1,38112,80,0x0010,66
0.332765000,10.0.0.2,10.0.0.1,38112,80,0x0018,138
0.332795000,10.0.0.1,10.0.0.2,80,38112,0x0010,66
0.335435000,10.0.0.1,10.0.0.2,80,38112,0x0018,223
0.335533000,10.0.0.2,10.0.0.1,38112,80,0x0010,66
0.335695000,10.0.0.1,10.0.0.2,80,38112,0x0018,1640
0.335712000,10.0.0.2,10.0.0.1,38112,80,0x0010,66
0.335979000,10.0.0.1,10.0.0.2,80,38112,0x0011,66
0.337789000,10.0.0.2,10.0.0.1,38112,80,0x0011,66
0.337848000,10.0.0.1,10.0.0.2,80,38112,0x0010,66
0.373505000,10.0.0.2,10.0.0.1,38116,80,0x0002,74
0.373576000,10.0.0.1,10.0.0.2,80,38116,0x0012,74
0.373614000,10.0.0.2,10.0.0.1,38116,80,0x0010,66
0.375694000,10.0.0.2,10.0.0.1,38116,80,0x0018,138
0.375718000,10.0.0.1,10.0.0.2,80,38116,0x0010,66
0.378463000,10.0.0.1,10.0.0.2,80,38116,0x0018,223
0.378524000,10.0.0.2,10.0.0.1,38116,80,0x0010,66
0.378565000,10.0.0.1,10.0.0.2,80,38116,0x0018,1640
0.378577000,10.0.0.2,10.0.0.1,38116,80,0x0010,66
0.378627000,10.0.0.1,10.0.0.2,80,38116,0x0011,66
0.379662000,10.0.0.2,10.0.0.1,38116,80,0x0011,66
0.379684000,10.0.0.1,10.0.0.2,80,38116,0x0010,66
0.411458000,10.0.0.2,10.0.0.1,38126,80,0x0002,74
